p_partkey,p_name,p_mfgr,p_brand,p_type actual,p_size,p_container,p_retailprice,p_comment,p_type
398,dark antique ghost cornsilk black,Manufacturer#3,Brand#32,MEDIUM BRUSHED NICKEL,32,SM DRUM,1298.39,ickly sp,58
399,orange peach yellow blue seashell,Manufacturer#2,Brand#21,LARGE BRUSHED BRASS,37,WRAP BAG,1299.39,nts sleep dog,31
400,rose honeydew olive chartreuse salmon,Manufacturer#2,Brand#21,ECONOMY POLISHED BRASS,32,SM BOX,1300.4, nag. quick,21
401,almond wheat bisque ghost chiffon,Manufacturer#2,Brand#21,ECONOMY POLISHED STEEL,10,SM PKG,1301.4,ideas cajole ,24
402,forest rosy indian puff mint,Manufacturer#4,Brand#45,LARGE ANODIZED BRASS,16,SM PACK,1302.4,s above t,26
403,floral rose plum honeydew burnished,Manufacturer#4,Brand#45,MEDIUM BURNISHED STEEL,19,JUMBO DRUM,1303.4,ic requ,64
404,maroon plum peru grey navajo,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,9,SM CASE,1304.4,ckages integrate blit,128
405,ivory deep sandy linen misty,Manufacturer#3,Brand#34,STANDARD BRUSHED BRASS,17,WRAP JAR,1305.4,e to maintain careful,131
406,cyan maroon burnished powder lavender,Manufacturer#2,Brand#21,STANDARD PLATED STEEL,43,JUMBO JAR,1306.4,ake foxes-,144
407,brown lime deep plum burlywood,Manufacturer#5,Brand#53,LARGE BRUSHED NICKEL,39,SM JAR,1307.4,quickl,33
408,blue metallic peach forest orchid,Manufacturer#2,Brand#24,PROMO POLISHED STEEL,4,MED PKG,1308.4,refully b,99
409,sandy floral antique khaki honeydew,Manufacturer#4,Brand#44,SMALL PLATED NICKEL,40,MED CASE,1309.4,usly above,118
410,tomato sienna chiffon burlywood dark,Manufacturer#2,Brand#25,STANDARD PLATED NICKEL,36,JUMBO BOX,1310.41, ironic pa,143
411,plum cyan antique tomato violet,Manufacturer#1,Brand#12,ECONOMY BURNISHED STEEL,17,JUMBO DRUM,1311.41,o beans a,14
412,slate puff cornflower blanched wheat,Manufacturer#1,Brand#14,SMALL ANODIZED STEEL,33,WRAP PKG,1312.41,ccording to the fur,104
413,chocolate royal lavender light bisque,Manufacturer#3,Brand#33,PROMO PLATED STEEL,49,MED PKG,1313.41,r deposits wake. alw,94
414,cornflower chiffon goldenrod black smoke,Manufacturer#4,Brand#41,SMALL BURNISHED STEEL,50,WRAP CASE,1314.41,efully. dolph,114
415,dark azure almond beige bisque,Manufacturer#2,Brand#22,MEDIUM ANODIZED COPPER,42,SM DRUM,1315.41,blithely blit,52
416,ghost misty green lace almond,Manufacturer#1,Brand#13,MEDIUM POLISHED STEEL,11,WRAP JAR,1316.41,yly pending deposit,74
417,gainsboro cream turquoise saddle dodger,Manufacturer#1,Brand#14,MEDIUM PLATED TIN,31,LG BAG,1317.41, nag blithely: ex,70
418,lavender orange burlywood floral dodger,Manufacturer#1,Brand#11,MEDIUM ANODIZED NICKEL,32,JUMBO JAR,1318.41, ironic deposits. requ,53
419,cyan navajo sandy purple ivory,Manufacturer#4,Brand#43,ECONOMY BRUSHED TIN,42,WRAP BAG,1319.41,boost slyly among t,10
420,blue azure metallic chiffon khaki,Manufacturer#2,Brand#23,PROMO BRUSHED TIN,15,LG JAR,1320.42,y. fluffi,85
421,black powder tan blue magenta,Manufacturer#1,Brand#12,LARGE PLATED STEEL,36,WRAP PACK,1321.42,regular,44
422,honeydew beige navy lawn smoke,Manufacturer#3,Brand#33,STANDARD POLISHED TIN,16,LG CAN,1322.42, bold,150
423,midnight olive cyan grey dim,Manufacturer#3,Brand#31,PROMO BRUSHED BRASS,2,SM JAR,1323.42,accou,81
424,antique grey almond coral lace,Manufacturer#3,Brand#34,SMALL BRUSHED TIN,9,LG CASE,1324.42,usly slyl,110
425,ivory drab sandy navajo rose,Manufacturer#3,Brand#32,PROMO BRUSHED STEEL,23,JUMBO BOX,1325.42,ndenci,84
426,papaya lavender beige light blue,Manufacturer#1,Brand#14,STANDARD ANODIZED NICKEL,42,WRAP PACK,1326.42,furiously even pa,128
427,honeydew midnight antique rosy burnished,Manufacturer#2,Brand#22,PROMO BURNISHED NICKEL,47,JUMBO CAN,1327.42,"ts. express, unusual ",88
428,salmon steel firebrick linen pale,Manufacturer#5,Brand#54,LARGE BURNISHED TIN,14,JUMBO CASE,1328.42,furiously ir,40
429,floral snow yellow indian mint,Manufacturer#4,Brand#45,ECONOMY BRUSHED COPPER,21,MED DRUM,1329.42, carefully even ,7
430,black midnight dark blue honeydew,Manufacturer#3,Brand#34,PROMO BURNISHED NICKEL,34,MED CAN,1330.43, sleep. slyly pend,88
431,frosted slate rose papaya maroon,Manufacturer#4,Brand#45,MEDIUM POLISHED TIN,30,SM PACK,1331.43,iousl,75
432,white cornflower indian red hot,Manufacturer#2,Brand#21,MEDIUM PLATED BRASS,6,MED JAR,1332.43,s nag furiously fluff,66
433,drab goldenrod cornflower coral dim,Manufacturer#1,Brand#12,STANDARD BURNISHED TIN,2,SM PACK,1333.43,ts haggle furiously ,140
434,cornsilk snow violet dark pale,Manufacturer#5,Brand#51,ECONOMY BURNISHED COPPER,20,JUMBO BAG,1334.43,y against the c,12
435,coral gainsboro blue indian green,Manufacturer#3,Brand#35,ECONOMY ANODIZED BRASS,17,WRAP BAG,1335.43,carefully ironic pack,1
436,turquoise violet drab blush white,Manufacturer#1,Brand#14,LARGE POLISHED BRASS,50,WRAP CASE,1336.43, the regul,46
437,purple drab forest navy sandy,Manufacturer#5,Brand#54,ECONOMY PLATED TIN,17,WRAP PACK,1337.43,e furiously,20
438,green orchid chocolate powder chartreuse,Manufacturer#1,Brand#15,LARGE BURNISHED TIN,31,LG DRUM,1338.43,epitaphs wake ,40
439,bisque cyan rosy chiffon cornsilk,Manufacturer#2,Brand#21,MEDIUM BURNISHED TIN,32,SM PKG,1339.43,uests wake slyly over ,65
440,snow lime pale linen blanched,Manufacturer#3,Brand#34,ECONOMY BURNISHED BRASS,22,MED CASE,1340.44,furiously above the,11
441,goldenrod white sienna almond blue,Manufacturer#3,Brand#35,PROMO BURNISHED STEEL,24,MED BOX,1341.44,s wake atop the ru,89
442,honeydew cornsilk plum saddle puff,Manufacturer#4,Brand#41,LARGE BURNISHED TIN,22,MED PACK,1342.44,refully al,40
443,chocolate frosted grey indian rosy,Manufacturer#4,Brand#44,STANDARD BURNISHED BRASS,10,SM BOX,1343.44,arefully. sl,136
444,burnished lace floral indian red,Manufacturer#3,Brand#32,MEDIUM ANODIZED COPPER,42,LG JAR,1344.44,ickly special excuse,52
445,dark blanched gainsboro coral blue,Manufacturer#1,Brand#12,LARGE BURNISHED NICKEL,47,SM DRUM,1345.44,s about the re,38
446,sandy beige metallic azure medium,Manufacturer#1,Brand#12,STANDARD BURNISHED NICKEL,11,WRAP CASE,1346.44,s sentiments affix ,138
447,coral lemon chiffon ghost bisque,Manufacturer#5,Brand#53,STANDARD BURNISHED COPPER,22,LG JAR,1347.44,s theodolites above th,137
448,wheat blush cornsilk burnished linen,Manufacturer#1,Brand#13,PROMO POLISHED BRASS,31,LG CAN,1348.44, excuses affix silen,96
449,forest slate coral dark goldenrod,Manufacturer#2,Brand#25,MEDIUM BRUSHED BRASS,47,JUMBO BAG,1349.44,"ular, unusual p",56
450,sky black goldenrod orchid antique,Manufacturer#4,Brand#43,MEDIUM BURNISHED TIN,23,SM CASE,1350.45,slyly,65
451,rosy burnished sienna chocolate blush,Manufacturer#4,Brand#42,PROMO PLATED TIN,28,WRAP DRUM,1351.45, detect blithely bl,95
452,gainsboro hot yellow coral beige,Manufacturer#1,Brand#11,STANDARD ANODIZED STEEL,48,JUMBO BOX,1352.45,ic requests wake ,129
453,lemon navy beige green black,Manufacturer#3,Brand#34,ECONOMY ANODIZED TIN,20,LG CASE,1353.45,y above the pen,5
454,royal chocolate orchid tomato violet,Manufacturer#5,Brand#53,MEDIUM BURNISHED STEEL,32,LG BOX,1354.45,ual requests.,64
455,purple black lime deep chartreuse,Manufacturer#2,Brand#22,LARGE BRUSHED BRASS,18,MED JAR,1355.45,ongside of the careful,31
456,blue magenta drab honeydew pale,Manufacturer#5,Brand#53,PROMO POLISHED BRASS,40,SM PKG,1356.45,"usual,",96
457,almond linen cyan bisque dim,Manufacturer#5,Brand#52,SMALL POLISHED TIN,46,SM CAN,1357.45,express accounts. sp,125
458,slate pale chocolate hot magenta,Manufacturer#2,Brand#22,PROMO BRUSHED COPPER,38,MED BAG,1358.45,structions sleep ,82
459,beige slate linen dark cyan,Manufacturer#2,Brand#23,MEDIUM ANODIZED NICKEL,27,SM PACK,1359.45, blithely. fur,53
460,cream papaya orange purple lawn,Manufacturer#3,Brand#35,STANDARD ANODIZED BRASS,47,JUMBO DRUM,1360.46,he carefully,126
461,goldenrod dim light tan forest,Manufacturer#5,Brand#54,SMALL BRUSHED TIN,44,JUMBO CASE,1361.46,: slyly express pa,110
462,black yellow sandy drab hot,Manufacturer#5,Brand#54,MEDIUM BURNISHED BRASS,11,WRAP CAN,1362.46,s sleep quickly care,61
463,lemon puff mint pale cornflower,Manufacturer#2,Brand#21,MEDIUM ANODIZED COPPER,48,MED PACK,1363.46,unts use fluffily,52
464,misty thistle navy medium salmon,Manufacturer#4,Brand#42,LARGE BURNISHED NICKEL,34,LG BOX,1364.46,l decoys. close exc,38
465,ivory peach aquamarine blush metallic,Manufacturer#4,Brand#42,SMALL POLISHED BRASS,12,MED JAR,1365.46,nts. slyly special ac,121
466,deep metallic chocolate dark honeydew,Manufacturer#3,Brand#33,PROMO POLISHED BRASS,12,LG PKG,1366.46,ly special pains. iron,96
467,burlywood slate midnight antique misty,Manufacturer#2,Brand#24,STANDARD BURNISHED STEEL,48,JUMBO PACK,1367.46,ependenc,139
468,spring green plum lemon azure,Manufacturer#4,Brand#41,MEDIUM BURNISHED STEEL,24,SM PACK,1368.46,o the,64
469,mint magenta steel blush beige,Manufacturer#1,Brand#13,MEDIUM POLISHED STEEL,43,WRAP PKG,1369.46,osits. slyly unusua,74
470,honeydew coral hot royal blush,Manufacturer#2,Brand#24,STANDARD BRUSHED TIN,38,JUMBO CASE,1370.47,ess deposits,135
471,tan aquamarine ivory yellow burlywood,Manufacturer#1,Brand#11,LARGE BRUSHED STEEL,21,JUMBO BAG,1371.47,sits nag caref,34
472,green mint snow gainsboro chiffon,Manufacturer#3,Brand#31,PROMO BRUSHED COPPER,24,SM JAR,1372.47, according,82
473,antique moccasin light papaya lavender,Manufacturer#1,Brand#12,ECONOMY PLATED STEEL,2,MED DRUM,1373.47,e furious,19
474,gainsboro chiffon dodger orchid royal,Manufacturer#1,Brand#14,ECONOMY PLATED STEEL,45,LG PACK,1374.47,ously even reques,19
475,maroon black firebrick dark orange,Manufacturer#3,Brand#34,STANDARD ANODIZED NICKEL,30,MED PACK,1375.47,thely unusual th,128
476,dim blanched purple slate salmon,Manufacturer#3,Brand#33,STANDARD POLISHED COPPER,33,WRAP PACK,1376.47, according to the blit,147
477,plum gainsboro pale dim khaki,Manufacturer#1,Brand#11,ECONOMY ANODIZED COPPER,35,JUMBO BAG,1377.47,lent s,2
478,blush forest chiffon light seashell,Manufacturer#4,Brand#45,STANDARD POLISHED COPPER,11,MED CASE,1378.47,ly bold foxes ca,147
479,light forest slate lime aquamarine,Manufacturer#2,Brand#25,MEDIUM PLATED STEEL,35,SM BAG,1379.47, pending ac,69
480,cyan rosy beige lavender hot,Manufacturer#5,Brand#54,MEDIUM ANODIZED STEEL,31,WRAP BOX,1380.48,eans. quickly,54
481,deep light cornflower red dim,Manufacturer#1,Brand#14,MEDIUM BURNISHED BRASS,17,JUMBO PACK,1381.48,s cajole som,61
482,burnished violet peru blush gainsboro,Manufacturer#5,Brand#53,MEDIUM POLISHED STEEL,11,SM DRUM,1382.48,deposits. fluffily b,74
483,honeydew grey midnight drab powder,Manufacturer#1,Brand#15,MEDIUM ANODIZED COPPER,9,SM PKG,1383.48,usly final instru,52
484,brown green lace papaya cornflower,Manufacturer#1,Brand#15,MEDIUM POLISHED BRASS,34,SM CASE,1384.48,uffily final deposits.,71
485,orchid steel sandy aquamarine honeydew,Manufacturer#3,Brand#31,PROMO PLATED STEEL,44,LG JAR,1385.48, requests. regularly r,94
486,tomato violet misty chartreuse salmon,Manufacturer#4,Brand#45,SMALL PLATED COPPER,15,MED PKG,1386.48,ent accounts among t,117
487,orange hot cream medium smoke,Manufacturer#5,Brand#52,SMALL BRUSHED COPPER,43,WRAP PACK,1387.48,iously ruthles,107
488,tomato moccasin coral dim beige,Manufacturer#2,Brand#21,PROMO PLATED BRASS,47,JUMBO JAR,1388.48, the slyly pending r,91
489,lime azure drab cyan blanched,Manufacturer#2,Brand#22,LARGE BURNISHED TIN,36,LG CAN,1389.48,unts. quickly bold id,40
490,dark midnight bisque deep olive,Manufacturer#4,Brand#41,SMALL PLATED NICKEL,11,MED BOX,1390.49,fluffily express packa,118
491,snow midnight powder almond firebrick,Manufacturer#3,Brand#31,SMALL POLISHED BRASS,42,MED JAR,1391.49, deposit,121
492,burlywood rose moccasin forest brown,Manufacturer#4,Brand#42,MEDIUM BRUSHED COPPER,13,JUMBO DRUM,1392.49,yly slyly express th,57
493,almond frosted lime navajo olive,Manufacturer#4,Brand#45,MEDIUM BURNISHED BRASS,8,MED PKG,1393.49,uses. bold ,61
494,navy pale sienna lace snow,Manufacturer#4,Brand#42,STANDARD BRUSHED NICKEL,40,MED PKG,1394.49,y pending theodo,133
495,salmon brown burnished firebrick navajo,Manufacturer#4,Brand#42,SMALL BRUSHED BRASS,28,MED PKG,1395.49,", ironic pac",106
496,frosted almond azure snow khaki,Manufacturer#1,Brand#12,STANDARD BRUSHED BRASS,11,SM BAG,1396.49,ealthily,131
497,chiffon aquamarine blanched cornsilk maroon,Manufacturer#2,Brand#25,PROMO PLATED TIN,1,SM CAN,1397.49,l accounts sl,95
498,red sienna dark papaya burnished,Manufacturer#2,Brand#25,MEDIUM POLISHED STEEL,21,WRAP CASE,1398.49,lthily even co,74
499,linen burnished turquoise blush bisque,Manufacturer#3,Brand#35,SMALL PLATED COPPER,38,JUMBO PKG,1399.49,furiously across ,117
500,mint azure spring dim cornsilk,Manufacturer#4,Brand#41,MEDIUM POLISHED STEEL,13,SM JAR,1400.5,regul,74
501,tomato almond goldenrod cornsilk brown,Manufacturer#4,Brand#45,SMALL BURNISHED COPPER,37,SM BAG,1401.5,press pinto b,112
502,floral almond goldenrod light midnight,Manufacturer#2,Brand#21,SMALL PLATED TIN,6,JUMBO DRUM,1402.5,quests integrate ,120
503,lavender frosted snow cornsilk almond,Manufacturer#2,Brand#24,PROMO BRUSHED NICKEL,30,SM PKG,1403.5, the dep,83
504,pink tan lace hot ivory,Manufacturer#2,Brand#24,PROMO BRUSHED STEEL,10,SM JAR,1404.5,refully after the fu,84
505,red burlywood coral sky drab,Manufacturer#4,Brand#42,STANDARD PLATED BRASS,32,WRAP JAR,1405.5,ly even ,141
506,almond firebrick gainsboro bisque lace,Manufacturer#1,Brand#14,PROMO BRUSHED NICKEL,30,WRAP PACK,1406.5,"y ruthless, fi",83
507,red misty salmon black blue,Manufacturer#4,Brand#43,SMALL ANODIZED BRASS,20,SM CASE,1407.5,ial foxes. furiously ,101
508,blanched peach bisque saddle plum,Manufacturer#1,Brand#14,LARGE ANODIZED TIN,40,WRAP PKG,1408.5,ect according,30
509,peru cornflower linen bisque firebrick,Manufacturer#1,Brand#13,MEDIUM BRUSHED NICKEL,30,MED CAN,1409.5,eposits. slyly,58
510,tomato forest gainsboro purple chartreuse,Manufacturer#4,Brand#43,SMALL PLATED NICKEL,25,JUMBO PACK,1410.51,al platelets. iro,118
511,orchid pale yellow bisque mint,Manufacturer#1,Brand#15,STANDARD BRUSHED COPPER,2,LG JAR,1411.51,ss package,132
512,cornflower chartreuse mint drab bisque,Manufacturer#5,Brand#51,PROMO ANODIZED COPPER,18,LG PACK,1412.51,dolphins cajo,77
513,light thistle grey lime saddle,Manufacturer#3,Brand#32,MEDIUM BRUSHED STEEL,10,WRAP CAN,1413.51, after th,59
514,rosy sky puff lemon burlywood,Manufacturer#4,Brand#42,LARGE POLISHED BRASS,10,JUMBO BOX,1414.51,omise,46
515,indian dim lime blue peach,Manufacturer#5,Brand#53,MEDIUM PLATED TIN,37,WRAP BOX,1415.51,ular asymptotes im,70
516,purple red khaki beige smoke,Manufacturer#1,Brand#12,SMALL BRUSHED NICKEL,28,LG CAN,1416.51,ly express,108
517,tomato firebrick violet mint snow,Manufacturer#3,Brand#34,SMALL BURNISHED COPPER,30,WRAP CAN,1417.51,uses. ,112
518,yellow tomato lavender rose puff,Manufacturer#4,Brand#43,PROMO BRUSHED BRASS,33,JUMBO DRUM,1418.51,n requests hag,81
519,blush medium cyan black snow,Manufacturer#3,Brand#32,LARGE BRUSHED BRASS,24,WRAP PACK,1419.51,xes are fluffily fluf,31
520,blanched grey frosted pale almond,Manufacturer#1,Brand#12,PROMO BURNISHED BRASS,49,MED CASE,1420.52, foxes.,86
521,grey cream almond lime deep,Manufacturer#3,Brand#35,PROMO BRUSHED STEEL,21,JUMBO DRUM,1421.52,the blithe,84
522,frosted cornflower turquoise saddle chartreuse,Manufacturer#3,Brand#32,STANDARD BRUSHED NICKEL,15,MED CASE,1422.52,deas. brave ac,133
523,burlywood ghost pale honeydew dodger,Manufacturer#4,Brand#42,ECONOMY BRUSHED NICKEL,7,JUMBO JAR,1423.52,e blithe,8
524,deep seashell dodger drab antique,Manufacturer#1,Brand#14,SMALL ANODIZED STEEL,17,JUMBO PACK,1424.52,ly reg,104
525,metallic midnight chocolate khaki royal,Manufacturer#3,Brand#33,STANDARD BURNISHED STEEL,47,JUMBO CAN,1425.52,ly except ,139
526,orchid frosted wheat powder blush,Manufacturer#5,Brand#53,PROMO ANODIZED BRASS,47,JUMBO PKG,1426.52,"ronic, iro",76
527,pink drab purple navajo cornflower,Manufacturer#3,Brand#32,MEDIUM POLISHED NICKEL,39,LG JAR,1427.52,counts wake abov,73
528,cornsilk lace magenta rose slate,Manufacturer#2,Brand#24,STANDARD PLATED STEEL,40,LG CAN,1428.52,ly ironic pl,144
529,lavender aquamarine peru slate navajo,Manufacturer#3,Brand#31,MEDIUM PLATED NICKEL,33,SM PKG,1429.52,y along the ,68
530,mint lemon chartreuse lime royal,Manufacturer#4,Brand#42,PROMO PLATED STEEL,45,JUMBO CASE,1430.53,kages about t,94
531,purple hot floral puff almond,Manufacturer#2,Brand#22,ECONOMY POLISHED NICKEL,16,WRAP DRUM,1431.53, atta,23
532,midnight lace chiffon maroon powder,Manufacturer#1,Brand#14,LARGE BRUSHED NICKEL,45,WRAP BAG,1432.53,s. blithely,33
533,hot ivory grey azure light,Manufacturer#2,Brand#24,PROMO PLATED STEEL,38,JUMBO PACK,1433.53,ng the blithely final ,94
534,bisque pink plum burnished firebrick,Manufacturer#5,Brand#53,STANDARD PLATED NICKEL,27,LG CASE,1434.53,rts poach over th,143
535,lime rosy deep pale rose,Manufacturer#5,Brand#53,STANDARD PLATED TIN,17,SM CASE,1435.53,he unusual idea,145
536,orchid violet tan bisque indian,Manufacturer#2,Brand#23,STANDARD PLATED STEEL,36,JUMBO BAG,1436.53,le slyl,144
537,azure olive aquamarine coral yellow,Manufacturer#1,Brand#15,ECONOMY BRUSHED TIN,26,WRAP BOX,1437.53,fully regular platelet,10
538,deep bisque smoke metallic thistle,Manufacturer#1,Brand#15,ECONOMY POLISHED STEEL,24,SM PACK,1438.53,ic epitap,24
539,plum metallic salmon dim lime,Manufacturer#3,Brand#34,MEDIUM BURNISHED TIN,4,SM DRUM,1439.53, deposits. fi,65
540,violet white steel midnight black,Manufacturer#1,Brand#14,MEDIUM PLATED NICKEL,7,LG PACK,1440.54,"cial, pending account",68
541,seashell lawn hot forest lemon,Manufacturer#3,Brand#35,STANDARD ANODIZED NICKEL,34,LG JAR,1441.54,s are fluffily above t,128
542,light brown cornsilk indian antique,Manufacturer#1,Brand#11,SMALL BRUSHED STEEL,40,WRAP CASE,1442.54,sits bo,109
543,dodger chartreuse pale medium mint,Manufacturer#5,Brand#54,ECONOMY POLISHED BRASS,4,JUMBO BOX,1443.54, cajole ,21
544,brown dodger hot frosted cream,Manufacturer#2,Brand#22,STANDARD BURNISHED NICKEL,42,SM CASE,1444.54,leep slyl,138
545,purple peach indian smoke papaya,Manufacturer#3,Brand#31,LARGE PLATED NICKEL,14,MED JAR,1445.54,arefully regular packa,43
546,metallic green indian steel blanched,Manufacturer#2,Brand#25,ECONOMY ANODIZED STEEL,8,LG CASE,1446.54,ly unusu,4
547,cornflower turquoise navy coral beige,Manufacturer#4,Brand#43,MEDIUM BURNISHED COPPER,48,WRAP DRUM,1447.54,ial theodolites among ,62
548,blue peru lavender cream metallic,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,28,SM CAN,1448.54,gular,5
549,lavender goldenrod hot salmon puff,Manufacturer#5,Brand#53,SMALL BRUSHED BRASS,36,SM CAN,1449.54,ly unus,106
550,violet blush maroon wheat cream,Manufacturer#4,Brand#44,STANDARD BRUSHED STEEL,27,SM JAR,1450.55,arefully iron,134
551,wheat blush firebrick bisque medium,Manufacturer#5,Brand#54,LARGE BURNISHED TIN,10,MED JAR,1451.55,dolites cajole furious,40
552,turquoise hot mint drab burlywood,Manufacturer#4,Brand#44,LARGE POLISHED BRASS,1,JUMBO CAN,1452.55,longside of the sl,46
553,gainsboro deep lavender khaki blanched,Manufacturer#2,Brand#23,SMALL POLISHED NICKEL,1,WRAP DRUM,1453.55,fily regular depen,123
554,ghost lavender navajo medium light,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,31,LG JAR,1454.55,ts? ironically,134
555,thistle brown blue honeydew slate,Manufacturer#4,Brand#42,PROMO BURNISHED TIN,49,SM JAR,1455.55,es hag,90
556,powder frosted antique seashell cream,Manufacturer#2,Brand#23,SMALL BRUSHED BRASS,49,WRAP JAR,1456.55,ar theodolites ma,106
557,maroon ghost chocolate antique brown,Manufacturer#3,Brand#35,LARGE BURNISHED TIN,8,JUMBO PKG,1457.55,ccounts im,40
558,blanched wheat papaya linen gainsboro,Manufacturer#3,Brand#31,STANDARD PLATED BRASS,25,MED BOX,1458.55,eposits. slyly,141
559,wheat aquamarine moccasin firebrick dark,Manufacturer#3,Brand#31,LARGE PLATED STEEL,27,SM PKG,1459.55,stealthily express ,44
560,orchid indian peru green saddle,Manufacturer#2,Brand#25,STANDARD BRUSHED COPPER,37,WRAP PKG,1460.56,e special pac,132
561,blue burlywood green chiffon olive,Manufacturer#1,Brand#14,SMALL POLISHED STEEL,44,JUMBO CASE,1461.56,#NAME?,124
562,lime blue thistle drab cornsilk,Manufacturer#3,Brand#32,SMALL BURNISHED STEEL,16,MED PACK,1462.56, fluffi,114
563,spring goldenrod forest light magenta,Manufacturer#3,Brand#31,MEDIUM POLISHED STEEL,39,MED DRUM,1463.56,"furiously bold,",74
564,saddle beige pale cream chiffon,Manufacturer#2,Brand#22,LARGE ANODIZED BRASS,41,SM PKG,1464.56,blithely after the ev,26
565,dodger metallic sienna linen purple,Manufacturer#1,Brand#14,PROMO BRUSHED STEEL,9,JUMBO JAR,1465.56, blithely unusual r,84
566,seashell cornflower white smoke aquamarine,Manufacturer#2,Brand#25,ECONOMY BURNISHED TIN,19,LG PKG,1466.56,ounts wake across t,15
567,midnight lace white turquoise medium,Manufacturer#5,Brand#55,STANDARD BRUSHED STEEL,19,JUMBO BAG,1467.56,pending pinto ,134
568,magenta tan orchid frosted beige,Manufacturer#3,Brand#31,PROMO POLISHED STEEL,6,SM BOX,1468.56,ts. ideas along t,99
569,cornflower aquamarine burlywood goldenrod lemon,Manufacturer#4,Brand#41,SMALL BRUSHED TIN,46,MED BOX,1469.56,y according to,110
570,lavender slate turquoise deep lawn,Manufacturer#5,Brand#51,ECONOMY BRUSHED COPPER,44,SM PKG,1470.57,le. s,7
571,chartreuse orchid dim beige forest,Manufacturer#2,Brand#22,LARGE PLATED TIN,1,WRAP CAN,1471.57,ly ironic,45
572,navy plum light bisque burnished,Manufacturer#4,Brand#43,LARGE BURNISHED COPPER,3,SM BOX,1472.57,requests use,37
573,dark metallic floral chocolate mint,Manufacturer#2,Brand#23,SMALL PLATED TIN,42,WRAP PACK,1473.57,expres,120
574,khaki snow beige aquamarine linen,Manufacturer#2,Brand#23,SMALL PLATED BRASS,36,SM PACK,1474.57,oss th,116
575,gainsboro seashell peach khaki firebrick,Manufacturer#1,Brand#14,SMALL BRUSHED NICKEL,10,MED CAN,1475.57,ns integrate a,108
576,cornsilk lace forest chocolate drab,Manufacturer#3,Brand#32,PROMO BURNISHED TIN,27,SM CAN,1476.57, foxes. accounts bo,90
577,black goldenrod cyan slate magenta,Manufacturer#2,Brand#22,LARGE BRUSHED STEEL,34,JUMBO BAG,1477.57,"ding, fur",34
578,black dim lace almond bisque,Manufacturer#4,Brand#41,MEDIUM ANODIZED NICKEL,9,WRAP DRUM,1478.57, furiously iron,53
579,goldenrod floral azure peach antique,Manufacturer#3,Brand#31,STANDARD POLISHED STEEL,8,WRAP JAR,1479.57,ades. carefully ,149
580,navajo chiffon lawn grey puff,Manufacturer#1,Brand#12,LARGE BURNISHED COPPER,30,JUMBO PACK,1480.58,usly expre,37
581,khaki gainsboro lawn grey red,Manufacturer#2,Brand#25,ECONOMY ANODIZED BRASS,44,SM BAG,1481.58, furious foxes. silen,1
582,frosted olive antique red coral,Manufacturer#4,Brand#45,LARGE BRUSHED TIN,23,MED JAR,1482.58,y bold,35
583,rose brown orange dodger cream,Manufacturer#3,Brand#33,LARGE BURNISHED NICKEL,35,JUMBO CAN,1483.58, sleep ,38
584,moccasin beige dark purple brown,Manufacturer#1,Brand#12,SMALL POLISHED COPPER,42,MED JAR,1484.58,"lar, ironic ac",122
585,peru hot blue saddle white,Manufacturer#5,Brand#53,SMALL PLATED COPPER,7,JUMBO PKG,1485.58,sts haggle q,117
586,sandy rosy gainsboro dark brown,Manufacturer#1,Brand#11,PROMO ANODIZED BRASS,11,LG DRUM,1486.58,ts haggle fluffily ,76
587,blanched magenta almond blue saddle,Manufacturer#4,Brand#44,SMALL POLISHED STEEL,35,MED PKG,1487.58,c accounts. qui,124
588,forest powder indian mint blush,Manufacturer#5,Brand#55,SMALL PLATED COPPER,45,WRAP BAG,1488.58,"ss foxes. even, ex",117
589,red olive saddle blanched cornsilk,Manufacturer#1,Brand#13,LARGE POLISHED BRASS,3,SM PKG,1489.58,cies. regul,46
590,lemon indian green royal aquamarine,Manufacturer#4,Brand#42,LARGE POLISHED COPPER,38,WRAP PKG,1490.59, dependencies sho,47
591,peach burlywood saddle midnight linen,Manufacturer#1,Brand#14,ECONOMY PLATED NICKEL,40,SM PKG,1491.59, the b,18
592,dodger midnight chocolate wheat ivory,Manufacturer#2,Brand#23,LARGE POLISHED STEEL,7,MED DRUM,1492.59,ide of the notorni,49
593,pink chiffon sandy spring cream,Manufacturer#2,Brand#25,PROMO POLISHED STEEL,20,JUMBO CASE,1493.59,ake after,99
594,moccasin beige burlywood floral smoke,Manufacturer#3,Brand#31,PROMO BRUSHED BRASS,28,SM JAR,1494.59,s detect fu,81
595,seashell beige forest coral lace,Manufacturer#5,Brand#51,PROMO BRUSHED BRASS,23,JUMBO JAR,1495.59,yly fin,81
596,slate light gainsboro dark seashell,Manufacturer#5,Brand#52,STANDARD POLISHED TIN,35,JUMBO JAR,1496.59,epend,150
597,cyan dark green lime orchid,Manufacturer#4,Brand#44,STANDARD ANODIZED NICKEL,36,SM DRUM,1497.59,ronic foxes. speci,128
598,brown khaki dodger violet blush,Manufacturer#2,Brand#24,MEDIUM POLISHED BRASS,9,MED JAR,1498.59,he fluffily regular,71
